SNMU MVS Mucuri, BA, BR
SBCC Novo Progresso [Cachimbo AB], PA, BR
SBTB TMT Porto Trombetas, PA, BR
SWLC RVD Rio Verde [General Leite de Castro], GO, BR
SWKU São Gabriel da Cachoeira [Cucuí], AM, BR
SBTU TUR Tucuruí, PA, BR
SBVG VAG Varginha [Major Brigadeiro Trompowsky], MG, BR
SNVS BVS Breves, PA, BR
SBLE LEC Lençõis [Chapada Diamantina], BA, BR
SWMW MBZ Maues, AM, BR
SNYE PHI Pinheiro, MA, BR
SBSC SNZ Rio de Janeiro [Bartolomeu de Gusmão (Santa Cruz)], RJ, BR
SNFX SXX São Felix de Xingú, PA, BR
SWAZ São Gabriel da Cachoeira [Santo Atanazio], AM, BR
SNRU CAU Caruaru, PE, BR
SNDV DIQ Divinopolis, MG, BR
SSPB PTO Pato Branco, PR, BR
SNSM Salinópolis, PA, BR
SSVP CTQ Santa Vitória do Palmar [Aeropuerto Fernando Ferrari], RS, BR
SNJR São João del Rei, MG, BR
SBES São Pedro da Aldeia, RJ, BR
SBBG BGX Bagé [Comandante Gustavo Kraemer], RS, BR
SWCA CAF Carauari, AM, BR
SSIQ ITQ Itaqui, RS, BR
SWJN JIA Juina, MT, BR
SNMA MTE Monte Alegre, PA, BR
SWPI PIN Parintins, AM, BR
SBPP PMG Ponta Porã [Intl], MS, BR
SWYM Pontes e Lacerda [Fazenda Anhanguera], MT, BR
SBAF Rio de Janeiro [Campo Delio Jardim de Mattos (Afonsos)], RJ, BR
SBTD TOW Toledo, PR, BR
SDUB UBT Ubatuba, SP, BR
SWBR RBB Borba, AM, BR
SSGB Guaratuba, PR, BR
SWHT Humaitá, AM, BR
SNPD Pará de Minas [Pará de Minas 2], MG, BR
SBPI QPE Petrópolis [Pico do Couto], RJ, BR
SBJR Rio de Janeiro [Jacarepaguá], RJ, BR
SWTP Santa Isabel do Rio Negro [Tapuruquara], AM, BR
SNBL BVM Belmonte, BA, BR
CPU Cururupu, MA, BR
SWEI ERN Eirunepé, AM, BR
SSPG PNG Paranaguá, PR, BR
SWM Alto Boa Vista [Suia-Missu], MT, BR
