timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-05T23:10:08,codecarbon,3d64575a-d9d6-4add-9e09-cad1a311c34a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,24.16551160200106,1.2424612085051533e-05,5.141464534118406e-07,9.36,0.0,10.0,6.213469577926402e-05,0.0,6.419844861667217e-05,0.0001263331443959,Brazil,BRA,rio grande do norte,,,Linux-6.11.0-26-generic-x86_64-with-glibc2.39,3.12.3,3.0.2,8,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,,,-35.2235,-5.8111,15.537647247314451,machine,N,1.0
2025-06-06T22:53:38,codecarbon,6080d82a-5505-4945-bfe7-55b52e6ce01c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,115.13640132300134,0.0001310424142568,1.1381492972776722e-06,38.571,0.0,10.0,0.0010244774821858,0.0,0.0003079585028555,0.0013324359850414,Brazil,BRA,rio grande do norte,,,Linux-6.11.0-26-generic-x86_64-with-glibc2.39,3.12.3,3.0.2,8,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,,,-35.2235,-5.8111,15.537647247314451,machine,N,1.0
2025-06-06T22:56:49,codecarbon,3af925a2-75a1-4216-b96f-bd8b16f64a5f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,80.90528312100105,5.36186292522098e-05,6.627333492179784e-07,12.467,0.0,10.0,0.00032940271121176934,0.0,0.00021579016766944635,0.0005451928788812156,Brazil,BRA,rio grande do norte,,,Linux-6.11.0-26-generic-x86_64-with-glibc2.39,3.12.3,3.0.2,8,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,,,-35.2235,-5.8111,15.537647247314453,machine,N,1.0
